"","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Risk"
"96",58,"1","2","2","1","2",15945,54,"8","1"
"97",61,"2","2","3","3","2",2012,12,"7","0"
"98",34,"1","2","3","2","2",2622,18,"8","0"
"99",36,"1","2","3","1","2",2337,36,"2","0"
"100",36,"1","3","2","1","2",7057,20,"6","0"
"101",41,"1","1","2","2","1",1469,24,"6","0"
"102",24,"1","2","2","1","2",2323,36,"2","0"
"103",24,"2","2","3","1","2",932,6,"2","0"
"104",35,"1","2","2","1","2",1919,9,"4","0"
"105",26,"1","2","2","3","2",2445,12,"6","0"
"106",39,"1","3","3","1","2",11938,24,"1","1"
"107",39,"1","3","3","1","1",6458,18,"6","1"
"108",32,"1","2","3","1","2",6078,12,"6","0"
"109",30,"2","2","3","3","1",7721,24,"4","0"
"110",35,"1","2","3","3","2",1410,14,"8","0"
"111",31,"1","2","3","2","2",1449,6,"8","0"
"112",23,"2","2","2","1","2",392,15,"7","0"
"113",28,"1","1","2","1","2",6260,18,"6","0"
"114",25,"2","2","3","1","2",7855,36,"6","1"
"115",35,"1","2","3","3","1",1680,12,"2","0"
"116",47,"1","2","3","2","2",3578,48,"2","0"
"117",30,"2","3","3","1","1",7174,42,"2","1"
"118",27,"2","2","2","1","1",2132,10,"4","0"
"119",23,"2","2","3","3","1",4281,33,"4","1"
"120",36,"1","3","3","3","2",2366,12,"6","0"
"121",25,"2","2","3","1","1",1835,21,"2","1"
"122",41,"2","3","2","1","2",3868,24,"6","0"
"123",24,"1","1","2","1","1",1768,12,"4","0"
"124",63,"1","2","1","1","1",781,10,"6","0"
"125",27,"2","2","2","1","2",1924,18,"4","1"
"126",30,"1","2","3","1","1",2121,12,"6","0"
"127",40,"1","1","3","1","1",701,12,"2","0"
"128",30,"1","2","3","1","2",639,12,"5","1"
"129",34,"1","3","3","1","2",1860,12,"6","0"
"130",29,"2","2","3","1","1",3499,12,"6","1"
"131",24,"2","2","3","3","2",8487,48,"6","0"
"132",29,"1","2","3","1","1",6887,36,"7","1"
"133",27,"1","1","3","1","2",2708,15,"4","0"
"134",47,"1","2","1","1","2",1984,18,"4","0"
"135",21,"2","2","3","2","2",10144,60,"2","0"
"136",38,"2","2","3","1","2",1240,12,"2","0"
"137",27,"1","2","3","4","2",8613,27,"6","0"
"138",66,"1","1","3","3","2",766,12,"2","1"
"139",35,"1","2","3","2","2",2728,15,"2","0"
"140",44,"2","1","2","1","1",1881,12,"2","0"
"141",27,"1","0","3","4","2",709,6,"6","0"
"142",30,"2","3","3","1","2",4795,36,"2","0"
"143",27,"1","3","3","1","1",3416,27,"2","0"
"144",22,"1","2","3","1","1",2462,18,"4","1"
"145",23,"2","2","3","1","1",2288,21,"4","0"
"146",30,"1","2","3","2","2",3566,48,"8","0"
"147",39,"2","2","3","1","1",860,6,"6","0"
"148",51,"2","2","3","2","1",682,12,"6","0"
"149",28,"1","2","3","1","1",5371,36,"4","0"
"150",46,"1","2","3","4","1",1582,18,"2","0"
"151",42,"1","2","1","2","2",1346,6,"2","0"
"152",38,"1","2","3","1","2",1924,10,"2","0"
"153",24,"1","2","3","1","1",5848,36,"2","0"
"154",29,"2","2","2","4","2",7758,24,"6","0"
"155",36,"1","3","2","2","2",6967,24,"8","0"
"156",20,"2","2","2","1","1",1282,12,"4","1"
"157",48,"1","2","3","2","1",1288,9,"5","0"
"158",45,"1","1","3","1","1",339,12,"7","0"
"159",38,"1","2","3","2","2",3512,24,"6","0"
"160",34,"1","1","3","1","2",1898,6,"2","0"
"161",36,"1","2","3","2","2",2872,24,"2","0"
"162",30,"2","2","3","1","2",1055,18,"6","0"
"163",36,"1","2","3","3","2",1262,15,"3","0"
"164",70,"1","3","1","1","2",7308,10,"6","0"
"165",36,"1","2","3","3","1",909,36,"6","0"
"166",32,"1","2","3","3","1",2978,6,"4","0"
"167",33,"2","2","3","1","1",1131,18,"4","1"
"168",20,"2","2","3","4","2",1577,11,"4","0"
"169",25,"2","2","2","1","1",3972,24,"4","0"
"170",31,"1","2","3","1","2",1935,24,"8","1"
"171",33,"1","2","2","1","1",950,15,"6","1"
"172",26,"2","2","3","1","2",763,12,"4","0"
"173",34,"2","3","3","1","2",2064,24,"4","1"
"174",33,"1","2","3","1","2",1414,8,"2","0"
"175",26,"1","2","3","1","1",3414,21,"7","1"
"176",53,"2","3","3","3","2",7485,30,"6","1"
"177",42,"1","2","3","1","1",2577,12,"4","0"
"178",52,"1","2","3","3","1",338,6,"2","0"
"179",31,"1","3","2","1","1",1963,12,"2","0"
"180",65,"1","2","3","1","1",571,21,"6","0"
"181",28,"1","2","3","1","1",9572,36,"8","1"
"182",30,"1","3","3","1","2",4455,36,"8","1"
"183",40,"1","1","3","1","1",1647,21,"6","1"
"184",50,"1","2","3","4","1",3777,24,"4","0"
"185",36,"1","2","3","1","2",884,18,"6","1"
"186",31,"1","2","3","1","1",1360,15,"2","0"
"187",74,"2","3","1","1","2",5129,9,"6","1"
"188",68,"1","0","1","1","2",1175,16,"6","0"
"189",20,"1","2","3","2","1",674,12,"2","1"
"190",33,"2","2","3","1","2",3244,18,"4","0"
"191",54,"1","3","3","4","1",4591,24,"8","1"
"192",34,"1","1","1","2","2",3844,48,"8","1"
"193",36,"1","2","3","1","2",3915,27,"8","1"
"194",29,"1","2","2","1","2",2108,6,"2","0"
"195",21,"1","2","2","2","2",3031,45,"2","1"
"196",34,"2","3","3","1","2",1501,9,"7","1"
"197",28,"2","2","3","1","2",1382,6,"2","0"
"198",27,"2","2","2","2","2",951,12,"4","1"
"199",36,"1","2","1","1","2",2760,24,"6","0"
"200",40,"1","3","3","1","2",4297,18,"4","1"
"201",52,"1","2","3","3","2",936,9,"7","0"
"202",27,"1","1","3","1","1",1168,12,"6","0"
"203",26,"1","2","3","1","2",5117,27,"8","0"
"204",21,"1","2","2","1","1",902,12,"7","1"
"205",38,"1","1","3","1","2",1495,12,"6","0"
"206",38,"1","3","1","1","1",10623,30,"6","0"
"207",43,"1","2","3","1","1",1935,12,"4","0"
"208",26,"1","2","3","1","2",1424,12,"3","0"
"209",21,"1","1","3","1","1",6568,24,"8","0"
"210",55,"1","2","3","4","1",1413,12,"6","0"
"211",33,"1","2","3","2","2",3074,9,"2","0"
"212",45,"2","1","3","1","2",3835,36,"2","0"
"213",50,"1","2","3","1","1",5293,27,"8","1"
"214",66,"1","3","3","1","1",1908,30,"8","1"
"215",51,"1","2","3","1","1",3342,36,"2","0"
"216",39,"2","1","3","1","2",932,6,"7","0"
"217",31,"1","2","3","1","1",3104,18,"8","0"
"218",23,"1","2","3","1","2",3913,36,"2","0"
"219",24,"1","1","2","1","1",3021,24,"4","0"
"220",64,"2","2","3","1","2",1364,10,"6","0"
"221",26,"1","1","3","1","2",625,12,"2","0"
"222",23,"2","2","2","1","1",1200,12,"7","0"
"223",30,"1","2","3","1","2",707,12,"2","0"
"224",32,"1","2","3","1","2",2978,24,"8","0"
"225",30,"1","2","3","1","1",4657,15,"6","0"
"226",27,"1","2","3","1","1",2613,36,"5","0"
"227",27,"1","2","3","4","2",10961,48,"2","1"
"228",53,"1","3","1","1","1",7865,12,"4","1"
"229",22,"1","2","3","1","2",1478,9,"2","1"
"230",22,"1","2","1","1","1",3149,24,"4","0"
"231",26,"1","2","3","1","2",4210,36,"2","1"
"232",51,"1","1","1","3","2",2507,9,"6","0"
"233",35,"1","2","3","2","2",2141,12,"2","0"
"234",25,"1","1","3","1","2",866,18,"2","0"
"235",42,"1","1","3","1","2",1544,4,"2","0"
"236",30,"1","3","3","1","1",1823,24,"2","1"
"237",23,"1","0","3","1","2",14555,6,"6","1"
"238",61,"1","1","2","2","2",2767,21,"8","1"
"239",35,"2","2","3","1","2",1291,12,"2","0"
"240",39,"1","2","3","1","1",2522,30,"2","0"
"241",29,"2","2","3","1","1",915,24,"6","1"
"242",51,"1","2","3","1","1",1595,6,"2","0"
"243",24,"1","2","1","1","1",4605,48,"6","1"
"244",27,"2","2","3","1","1",1185,12,"8","0"
"245",35,"2","1","3","3","2",3447,12,"7","0"
"246",25,"1","2","3","1","2",1258,24,"8","0"
"247",52,"1","2","3","1","1",717,12,"2","0"
"248",35,"1","2","2","2","1",1204,6,"6","0"
"249",26,"1","2","3","1","1",1925,24,"4","0"
"250",22,"2","2","2","1","1",433,18,"2","1"
"251",39,"2","1","3","4","1",666,6,"6","0"
"252",46,"2","1","3","1","1",2251,12,"4","0"
"253",24,"2","2","3","1","2",2150,30,"6","1"
"254",35,"1","2","3","2","1",4151,24,"4","0"
"255",24,"1","2","3","1","2",2030,9,"4","0"
"256",27,"1","1","3","1","2",7418,60,"2","0"
"257",35,"1","1","3","1","2",2684,24,"2","0"
"258",29,"1","2","1","1","1",2149,12,"2","1"
"259",23,"2","2","3","2","2",3812,15,"6","0"
"260",57,"2","1","3","2","2",1154,11,"2","0"
"261",27,"1","2","3","1","1",1657,12,"4","0"
"262",55,"2","2","3","1","1",1603,24,"2","0"
"263",36,"1","3","1","1","1",5302,18,"6","0"
"264",57,"2","1","1","1","1",2748,12,"7","0"
"265",32,"1","1","3","1","1",1231,10,"6","0"
"266",37,"1","2","3","1","2",802,15,"2","1"
"267",36,"1","2","3","1","2",6304,36,"8","0"
"268",38,"2","2","3","1","1",1533,24,"2","0"
"269",45,"1","3","3","1","1",8978,14,"6","1"
"270",25,"1","2","3","2","2",999,24,"2","0"
"271",32,"1","2","3","1","1",2662,18,"6","0"
"272",37,"2","2","2","3","2",1402,12,"4","0"
"273",36,"1","3","1","1","2",12169,48,"6","0"
"274",28,"1","2","3","1","2",3060,48,"2","1"
"275",34,"1","1","3","1","1",11998,30,"5","1"
"276",32,"1","2","3","1","2",2697,9,"2","0"
"277",26,"2","2","3","1","2",2404,18,"2","0"
"278",49,"1","1","3","1","1",1262,12,"4","0"
"279",32,"2","2","3","1","2",4611,6,"4","1"
"280",29,"1","3","2","2","1",1901,24,"2","0"
"281",23,"1","2","2","4","1",3368,15,"6","0"
"282",50,"1","2","3","1","1",1574,12,"4","0"
"283",49,"1","1","3","1","2",1445,18,"2","0"
"284",63,"1","2","3","3","1",1520,15,"4","0"
"285",37,"1","2","3","2","2",3878,24,"6","0"
"286",35,"2","1","3","1","1",10722,47,"6","0"
"287",26,"1","2","3","1","1",4788,48,"6","0"
"288",31,"1","3","1","2","2",7582,48,"1","0"
"289",49,"2","2","3","1","2",1092,12,"2","0"
"290",48,"1","2","3","1","1",1024,24,"2","1"
"291",26,"1","2","3","1","2",1076,12,"8","0"
"292",28,"1","3","2","1","2",9398,36,"6","1"
"293",44,"2","3","1","1","1",6419,24,"6","0"
"294",56,"1","2","1","1","1",4796,42,"6","0"
"295",46,"1","3","3","1","2",7629,48,"8","0"
"296",26,"2","2","3","1","2",9960,48,"4","1"
"297",20,"2","2","2","2","2",4675,12,"6","0"
"298",45,"1","1","3","2","1",1287,10,"6","0"
"299",43,"1","2","3","1","1",2515,18,"4","0"
"300",32,"1","2","3","4","2",2745,21,"4","0"
"301",54,"2","0","3","1","2",672,6,"6","0"
"302",42,"2","2","3","1","2",3804,36,"2","1"
"303",37,"1","1","3","1","1",1344,24,"6","1"
"304",49,"1","2","3","1","1",1038,10,"6","0"
"305",44,"1","2","1","3","2",10127,48,"6","1"
"306",33,"1","2","3","4","2",1543,6,"4","0"
"307",24,"2","1","2","1","1",4811,30,"6","0"
"308",33,"1","1","3","2","1",727,12,"2","1"
"309",24,"2","2","3","1","2",1237,8,"4","1"
"310",22,"1","1","2","1","2",276,9,"6","0"
"311",40,"1","0","1","1","2",5381,48,"1","0"
"312",25,"1","2","3","2","1",5511,24,"4","0"
"313",26,"2","2","3","1","2",3749,24,"4","0"
"314",25,"1","1","3","1","2",685,12,"6","1"
"315",29,"1","1","3","2","2",1494,4,"6","0"
"316",31,"1","2","3","1","1",2746,36,"4","1"
"317",38,"1","1","3","1","1",708,12,"4","0"
"318",48,"2","1","3","1","2",4351,24,"4","0"
"319",32,"1","2","3","1","2",701,12,"7","0"
"320",27,"2","1","3","1","1",3643,15,"4","0"
"321",28,"1","3","3","1","2",4249,30,"6","1"
"322",32,"1","2","3","1","1",1938,24,"2","1"
"323",34,"1","3","1","1","1",2910,24,"6","0"
"324",28,"1","2","3","4","1",2659,18,"4","0"
"325",36,"2","2","3","1","2",1028,18,"6","0"
"326",39,"1","1","3","1","1",3398,8,"6","0"
"327",49,"1","2","2","1","2",5801,12,"4","0"
"328",34,"2","2","3","4","1",1525,24,"6","0"
"329",31,"1","2","3","1","2",4473,36,"2","0"
"330",28,"1","2","3","1","2",1068,6,"2","0"
"331",75,"1","3","1","1","1",6615,24,"6","0"
"332",30,"2","2","3","2","1",1864,18,"7","1"
"333",24,"2","3","3","2","2",7408,60,"6","1"
"334",24,"2","1","2","2","2",11590,48,"6","1"
"335",23,"1","2","2","1","1",4110,24,"4","1"
"336",44,"1","3","2","1","1",3384,6,"4","1"
"337",23,"2","1","3","1","2",2101,13,"2","0"
"338",24,"2","2","2","1","1",1275,15,"3","1"
"339",28,"1","2","3","1","1",4169,24,"4","0"
"340",31,"1","1","3","1","2",1521,10,"4","0"
"341",24,"2","2","1","1","2",5743,24,"7","0"
"342",26,"2","1","2","1","1",3599,21,"4","0"
"343",25,"1","2","2","3","2",3213,18,"2","0"
"344",33,"1","3","3","1","2",4439,18,"8","0"
"345",37,"1","1","3","1","2",3949,10,"6","0"
"346",43,"2","1","3","1","1",1459,15,"2","0"
"347",23,"1","2","3","1","2",882,13,"2","0"
"348",23,"2","0","2","3","2",3758,24,"2","0"
"349",34,"1","1","3","2","2",1743,6,"8","0"
"350",32,"1","2","1","4","2",1136,9,"7","1"
"351",23,"2","2","2","1","1",1236,9,"3","0"
"352",29,"2","2","3","1","2",959,9,"4","1"
"353",38,"1","3","3","3","1",3229,18,"6","0"
"354",28,"1","2","2","1","1",6199,12,"2","1"
"355",46,"1","2","1","3","1",727,10,"7","0"
"356",23,"1","1","3","1","2",1246,24,"6","1"
"357",49,"1","2","3","1","1",2331,12,"2","0"
"358",26,"1","3","3","1","2",4463,36,"2","1"
"359",28,"1","2","3","1","1",776,12,"2","0"
"360",23,"2","2","2","1","1",2406,30,"4","1"
"361",61,"1","2","1","1","2",1239,18,"7","0"
"362",37,"1","3","3","1","1",3399,12,"2","0"
"363",36,"2","2","3","1","2",2247,12,"6","0"
"364",21,"1","2","2","1","2",1766,6,"4","0"
"365",25,"1","0","3","1","1",2473,18,"4","1"
"366",36,"1","2","3","1","2",1542,12,"8","0"
"367",27,"1","2","3","1","2",3850,18,"6","0"
"368",22,"2","2","2","1","1",3650,18,"4","0"
"369",42,"1","2","3","1","1",3446,36,"4","1"
"370",40,"2","2","2","1","2",3001,18,"4","0"
"371",36,"1","2","3","1","1",3079,36,"6","0"
"372",33,"1","2","3","1","2",6070,18,"2","0"
"373",23,"2","2","2","1","1",2146,10,"4","0"
"374",63,"1","3","1","1","2",13756,60,"6","0"
"375",60,"2","3","1","2","2",14782,60,"1","1"
"376",37,"2","2","2","1","1",7685,48,"8","1"
"377",34,"1","2","3","1","1",2320,18,"2","0"
"378",36,"1","2","1","1","1",846,7,"2","0"
"379",57,"1","3","1","1","2",14318,36,"6","1"
"380",52,"2","1","3","2","1",362,6,"6","0"
"381",39,"1","2","3","3","1",2212,20,"4","0"
"382",38,"2","3","1","1","2",12976,18,"6","1"
"383",25,"2","2","2","1","1",1283,22,"6","0"
"384",26,"1","2","3","1","1",1330,12,"6","0"
"385",26,"1","1","3","2","1",4272,30,"8","0"
"386",25,"2","2","3","1","2",2238,18,"2","0"
"387",21,"2","2","2","1","1",1126,18,"2","0"
"388",40,"1","3","3","1","2",7374,18,"4","0"
"389",27,"1","2","3","3","2",2326,15,"8","0"
"390",27,"2","2","3","1","2",1449,9,"8","0"
"391",30,"1","3","3","1","1",1820,18,"6","0"
"392",19,"2","1","2","4","2",983,12,"4","0"
"393",39,"1","3","1","1","1",3249,36,"6","0"
"394",31,"2","2","3","1","1",1957,6,"2","0"
"395",31,"1","3","3","1","2",2406,9,"4","0"
"396",32,"1","2","2","2","2",11760,39,"7","0"
"397",55,"2","3","1","1","1",2578,12,"4","0"
"398",46,"1","2","3","1","1",2348,36,"4","0"
"399",46,"1","2","2","1","2",1223,12,"6","1"
"400",43,"2","1","3","4","1",1516,24,"2","0"
"401",39,"1","2","3","1","2",1473,18,"2","0"
"402",28,"1","2","3","2","2",1887,18,"8","0"
"403",27,"1","2","3","1","2",8648,24,"8","1"
"404",27,"1","1","3","1","1",802,14,"6","0"
"405",43,"1","2","3","1","2",2899,18,"6","0"
"406",22,"1","2","3","1","2",2039,24,"2","1"
"407",43,"1","2","3","3","2",2197,24,"6","0"
"408",27,"1","2","3","1","1",1053,15,"2","0"
"409",26,"1","3","3","3","2",3235,24,"2","0"
"410",28,"1","2","3","3","2",939,12,"6","1"
"411",20,"2","2","3","1","2",1967,24,"2","0"
"412",35,"1","3","3","1","1",7253,33,"6","0"
"413",42,"1","3","3","1","2",2292,12,"8","1"
"414",40,"1","1","2","3","2",1597,10,"6","0"
"415",35,"2","2","3","1","1",1381,24,"6","1"
"416",35,"1","2","3","1","1",5842,36,"6","0"
"417",33,"1","1","3","1","1",2579,12,"6","1"
"418",23,"2","2","2","1","1",8471,18,"7","0"
"419",31,"2","3","3","3","2",2782,21,"6","0"
"420",33,"2","2","3","1","2",1042,18,"6","1"
"421",20,"2","2","2","4","1",3186,15,"6","0"
"422",30,"1","2","3","2","2",2028,12,"6","0"
"423",47,"1","1","3","1","2",958,12,"6","0"
"424",34,"1","3","3","2","2",1591,21,"4","0"
"425",25,"2","2","3","1","2",2762,12,"4","1"
"426",21,"1","2","2","1","2",2779,18,"6","0"
"427",29,"1","2","3","1","2",2743,28,"2","0"
"428",46,"1","2","3","4","2",1149,18,"2","0"
"429",20,"1","2","3","1","1",1313,9,"4","0"
"430",55,"2","0","1","1","1",1190,18,"5","1"
"431",74,"1","1","3","1","2",3448,5,"8","0"
"432",29,"1","3","3","1","2",11328,24,"1","1"
"433",36,"1","3","1","1","1",1872,6,"4","0"
"434",33,"1","2","3","1","2",2058,24,"5","0"
"435",25,"1","2","3","1","1",2136,9,"4","0"
"436",25,"1","2","3","1","2",1484,12,"2","1"
"437",23,"1","1","2","3","2",660,6,"5","0"
"438",37,"2","2","3","4","1",1287,24,"6","0"
"439",65,"1","0","3","1","1",3394,42,"5","0"
"440",26,"2","0","3","1","2",609,12,"8","1"
"441",39,"1","3","3","1","1",1884,12,"6","0"
"442",30,"2","2","3","1","1",1620,12,"4","0"
"443",29,"1","2","3","1","2",2629,20,"1","0"
"444",41,"1","1","3","1","1",719,12,"7","1"
"445",30,"2","3","3","1","2",5096,48,"4","1"
"446",41,"2","1","2","4","2",1244,9,"7","0"
"447",34,"2","2","3","1","1",1842,36,"6","1"
"448",35,"1","2","3","1","2",2576,7,"2","0"
"449",55,"2","3","3","4","1",1424,12,"4","0"
"450",61,"1","2","3","4","2",1512,15,"5","1"
"451",30,"1","3","3","3","2",11054,36,"6","0"
"452",29,"2","2","3","1","2",518,6,"2","0"
"453",34,"1","2","3","1","2",2759,12,"4","0"
"454",35,"1","3","3","1","2",2670,24,"6","0"
"455",31,"1","2","3","1","1",4817,24,"6","1"
"456",29,"2","3","3","1","2",2679,24,"6","0"
"457",36,"1","2","2","1","1",3905,11,"6","0"
"458",35,"1","2","1","1","1",3386,12,"6","1"
"459",27,"2","2","3","1","1",343,6,"3","0"
"460",32,"1","2","3","1","1",4594,18,"2","0"
"461",37,"1","2","3","1","1",3620,36,"4","0"
"462",36,"1","2","3","1","1",1721,15,"6","0"
"463",34,"2","3","2","1","2",3017,12,"4","0"
"464",38,"1","2","3","1","2",754,12,"7","0"
"465",34,"1","2","3","1","2",1950,18,"8","0"
"466",63,"1","2","3","1","1",2924,24,"6","0"
"467",29,"2","1","2","1","1",1659,24,"2","1"
"468",32,"1","2","3","1","1",7238,48,"2","0"
"469",26,"2","2","3","1","2",2764,33,"8","0"
"470",35,"1","1","3","1","1",4679,24,"6","0"
"471",22,"1","2","2","2","2",3092,24,"2","1"
"472",23,"2","2","3","1","1",448,6,"7","1"
"473",28,"1","1","3","1","1",654,9,"6","1"
"474",36,"1","3","3","2","2",1238,6,"7","0"
"475",33,"1","2","3","1","2",1245,18,"2","1"
"476",26,"2","2","2","1","1",3114,18,"4","1"
"477",24,"1","2","3","3","2",2569,39,"6","0"
"478",25,"1","2","3","1","1",5152,24,"2","0"
"479",39,"1","1","3","2","2",1037,12,"8","0"
"480",44,"1","2","3","1","1",1478,15,"4","0"
"481",23,"2","1","3","1","2",3573,12,"2","0"
"482",26,"1","2","3","1","2",1201,24,"6","0"
"483",57,"2","2","2","4","1",3622,30,"4","0"
"484",30,"2","2","3","4","1",960,15,"4","0"
"485",44,"1","2","3","3","1",1163,12,"6","0"
"486",47,"1","3","3","1","2",1209,6,"6","1"
"487",52,"1","2","3","1","1",3077,12,"2","0"
"488",62,"2","2","1","1","2",3757,24,"6","0"
"489",35,"1","1","2","2","2",1418,10,"6","0"
"490",26,"1","2","2","1","1",3518,6,"6","0"
"491",26,"1","2","3","1","1",1934,12,"2","0"
"492",42,"2","3","1","1","2",8318,27,"8","1"
"493",27,"2","2","3","2","2",1237,6,"2","0"
"494",38,"1","2","3","1","2",368,6,"2","0"
"495",39,"1","1","2","1","1",2122,12,"6","0"
"496",20,"1","2","3","1","1",2996,24,"4","1"
"497",29,"1","3","2","2","2",9034,36,"4","1"
"498",40,"1","2","3","1","2",1585,24,"4","0"
"499",32,"1","1","3","1","2",1301,18,"2","0"
"500",28,"1","2","3","2","2",1323,6,"6","0"
"501",27,"2","2","3","1","1",3123,24,"6","1"
"502",42,"1","2","1","1","1",5493,36,"6","0"
"503",49,"1","2","3","2","2",1126,9,"2","0"
"504",38,"1","2","3","2","2",1216,24,"2","1"
"505",24,"2","2","2","1","1",1207,24,"6","1"
"506",27,"1","1","3","1","1",1309,10,"6","1"
"507",36,"1","2","3","3","2",2360,15,"6","0"
"508",34,"1","3","3","2","2",6850,15,"6","1"
"509",28,"1","2","3","1","1",1413,24,"2","0"
"510",45,"1","3","3","2","2",8588,39,"6","0"
"511",26,"1","2","3","1","1",759,12,"6","1"
"512",32,"1","3","1","1","2",4686,36,"6","0"
"513",26,"1","2","2","1","2",2687,15,"8","0"
"514",20,"1","2","2","1","2",585,12,"2","0"
"515",54,"1","2","3","3","1",2255,24,"6","0"
"516",37,"2","2","3","1","1",609,6,"6","0"
"517",40,"1","1","3","1","1",1361,6,"6","0"
